wavelength	power
1.201370000000000070e-06	-7.026661029999999641e+01
1.201379999999999922e-06	-6.788640379999999652e+01
1.201389999999999987e-06	-6.780092879999999411e+01
1.201400000000000051e-06	-7.414387829999999724e+01
1.201409999999999903e-06	-7.067624179999999967e+01
1.201419999999999968e-06	-7.201842960000000460e+01
1.201430000000000032e-06	-6.694293330000000708e+01
1.201440000000000096e-06	-6.910298140000000444e+01
1.201449999999999949e-06	-6.788992910000000336e+01
1.201460000000000013e-06	-7.712162519999999688e+01
1.201470000000000077e-06	-2.100000000000000000e+02
1.201479999999999930e-06	-6.877933559999999602e+01
1.201489999999999994e-06	-6.517697920000000522e+01
1.201500000000000058e-06	-6.867358740000000239e+01
1.201509999999999911e-06	-6.626628429999999526e+01
1.201519999999999975e-06	-6.561133019999999760e+01
1.201530000000000039e-06	-6.785086230000000285e+01
1.201540000000000104e-06	-6.847374569999999494e+01
1.201549999999999956e-06	-6.603375839999999641e+01
1.201560000000000021e-06	-6.765566699999999400e+01
1.201570000000000085e-06	-6.850123689999999499e+01
1.201579999999999937e-06	-6.846043109999999388e+01
1.201590000000000002e-06	-6.683011290000000315e+01
1.201600000000000066e-06	-6.518769050000000220e+01
1.201609999999999918e-06	-6.919212930000000483e+01
1.201619999999999983e-06	-6.528526119999999366e+01
1.201630000000000047e-06	-2.100000000000000000e+02
1.201639999999999900e-06	-7.746637660000000380e+01
1.201649999999999964e-06	-7.246937309999999854e+01
1.201660000000000028e-06	-6.507188949999999750e+01
1.201670000000000092e-06	-6.769401109999999733e+01
1.201679999999999945e-06	-6.404671220000000176e+01
1.201690000000000009e-06	-6.342531650000000099e+01
1.201700000000000073e-06	-7.905626030000000526e+01
1.201709999999999926e-06	-2.100000000000000000e+02
1.201719999999999990e-06	-6.301538949999999772e+01
1.201730000000000054e-06	-6.760415940000000035e+01
1.201739999999999907e-06	-7.114110469999999964e+01
1.201749999999999971e-06	-6.423485630000000413e+01
1.201760000000000036e-06	-6.645675070000000062e+01
1.201770000000000100e-06	-6.511832900000000279e+01
1.201779999999999952e-06	-6.878607429999999567e+01
1.201790000000000017e-06	-6.564967590000000541e+01
1.201800000000000081e-06	-2.100000000000000000e+02
1.201809999999999933e-06	-2.100000000000000000e+02
1.201819999999999998e-06	-6.710725630000000308e+01
1.201830000000000062e-06	-6.622215110000000493e+01
1.201839999999999915e-06	-6.518287770000000592e+01
1.201849999999999979e-06	-2.100000000000000000e+02
1.201860000000000043e-06	-6.239640299999999939e+01
1.201869999999999896e-06	-6.668557090000000187e+01
1.201879999999999960e-06	-6.872420359999999562e+01
1.201890000000000024e-06	-6.399987159999999875e+01
1.201900000000000088e-06	-6.802890539999999930e+01
1.201909999999999941e-06	-8.202260929999999917e+01
1.201920000000000005e-06	-7.163723740000000362e+01
1.201930000000000070e-06	-6.486446150000000443e+01
1.201939999999999922e-06	-6.768993109999999547e+01
1.201949999999999986e-06	-7.327307600000000321e+01
1.201960000000000051e-06	-6.796395189999999786e+01
1.201969999999999903e-06	-7.637857660000000237e+01
1.201979999999999967e-06	-6.961583369999999604e+01
1.201990000000000032e-06	-6.613561529999999777e+01
1.202000000000000096e-06	-2.100000000000000000e+02
1.202009999999999948e-06	-7.063913410000000681e+01
1.202020000000000013e-06	-6.544929480000000410e+01
1.202030000000000077e-06	-6.446226099999999803e+01
1.202039999999999930e-06	-7.052471339999999600e+01
1.202049999999999994e-06	-7.188243289999999774e+01
1.202060000000000058e-06	-2.100000000000000000e+02
1.202069999999999911e-06	-6.693843560000000537e+01
1.202079999999999975e-06	-6.719968179999999336e+01
1.202090000000000039e-06	-7.043623940000000516e+01
1.202100000000000103e-06	-6.464765540000000499e+01
1.202109999999999956e-06	-2.100000000000000000e+02
1.202120000000000020e-06	-7.254663399999999740e+01
1.202130000000000085e-06	-7.887494549999999549e+01
1.202139999999999937e-06	-6.978891079999999647e+01
